symbol,date,open,high,low,close,volume,adjusted
^DJI;,03/01/2011,11577.43,11711.47,11577.35,11670.75,203420000.00,11670.75
^DJI;,04/01/2011,11670.90,11698.22,11635.74,11691.18,178630000.00,11691.18
^DJI;,05/01/2011,11688.61,11742.68,11652.89,11722.89,169990000.00,11722.89
^DJI;,06/01/2011,11716.93,11736.74,11667.46,11697.31,193080000.00,11697.31
^DJI;,07/01/2011,11696.86,11726.94,11599.68,11674.76,188720000.00,11674.76
^DJI;,10/01/2011,11672.34,11677.33,11573.87,11637.45,150340000.00,11637.45
^DJI;,11/01/2011,11638.51,11704.12,11635.48,11671.88,157440000.00,11671.88
^DJI;,12/01/2011,11673.62,11782.23,11673.62,11755.44,144960000.00,11755.44
^DJI;,13/01/2011,11753.70,11757.25,11700.53,11731.90,161660000.00,11731.90
^DJI;,14/01/2011,11732.13,11794.15,11698.83,11787.38,200770000.00,11787.38
^DJI;,18/01/2011,11783.82,11858.78,11777.99,11837.93,203390000.00,11837.93
^DJI;,19/01/2011,11834.21,11861.24,11798.46,11825.29,166250000.00,11825.29
^DJI;,20/01/2011,11823.70,11845.16,11744.77,11822.80,180800000.00,11822.80
^DJI;,21/01/2011,11822.95,11905.48,11822.80,11871.84,249480000.00,11871.84
^DJI;,24/01/2011,11873.43,11982.94,11867.98,11980.52,184000000.00,11980.52
^DJI;,25/01/2011,11980.52,11985.97,11898.74,11977.19,191950000.00,11977.19
^DJI;,26/01/2011,11978.85,12020.52,11961.83,11985.44,168320000.00,11985.44
^DJI;,27/01/2011,11985.36,12019.53,11971.93,11989.83,167770000.00,11989.83
^DJI;,28/01/2011,11990.36,12012.42,11803.04,11823.70,214170000.00,11823.70
^DJI;,31/01/2011,11824.39,11891.93,11817.88,11891.93,206580000.00,11891.93
^DJI;,01/02/2011,11892.50,12050.75,11892.50,12040.16,180890000.00,12040.16
^DJI;,02/02/2011,12038.27,12057.91,12018.51,12041.97,143440000.00,12041.97
^DJI;,03/02/2011,12040.68,12080.54,11981.05,12062.26,143710000.00,12062.26
^DJI;,04/02/2011,12061.73,12092.42,12025.78,12092.15,121780000.00,12092.15
^DJI;,07/02/2011,12092.38,12188.76,12092.30,12161.63,132960000.00,12161.63
^DJI;,08/02/2011,12152.70,12238.79,12150.05,12233.15,126650000.00,12233.15
^DJI;,09/02/2011,12229.29,12254.23,12188.19,12239.89,162910000.00,12239.89
^DJI;,10/02/2011,12239.66,12239.66,12156.94,12229.29,274440000.00,12229.29
^DJI;,11/02/2011,12227.78,12285.94,12180.48,12273.26,184290000.00,12273.26
^DJI;,14/02/2011,12266.83,12276.21,12235.91,12268.19,146350000.00,12268.19
^DJI;,15/02/2011,12266.75,12267.66,12193.27,12226.64,142580000.00,12226.64
^DJI;,16/02/2011,12219.79,12303.16,12219.79,12288.17,146270000.00,12288.17
^DJI;,17/02/2011,12287.72,12331.31,12253.24,12318.14,130860000.00,12318.14
^DJI;,18/02/2011,12318.67,12391.29,12303.23,12391.25,230040000.00,12391.25
^DJI;,22/02/2011,12389.74,12389.82,12176.31,12212.79,201860000.00,12212.79
^DJI;,23/02/2011,12211.81,12221.12,12063.43,12105.78,213490000.00,12105.78
^DJI;,24/02/2011,12104.56,12129.62,11983.17,12068.50,190860000.00,12068.50
^DJI;,25/02/2011,12060.93,12151.03,12060.93,12130.45,147540000.00,12130.45
^DJI;,28/02/2011,12130.45,12235.04,12130.15,12226.34,199560000.00,12226.34
^DJI;,01/03/2011,12226.49,12261.38,12054.99,12058.02,183240000.00,12058.02
^DJI;,02/03/2011,12057.34,12115.12,12018.63,12066.80,147270000.00,12066.80
^DJI;,03/03/2011,12068.01,12283.10,12068.01,12258.20,157840000.00,12258.20
^DJI;,04/03/2011,12258.88,12271.37,12079.51,12169.88,166700000.00,12169.88
^DJI;,07/03/2011,12171.09,12243.44,12041.60,12090.03,176200000.00,12090.03
^DJI;,08/03/2011,12085.87,12251.20,12072.21,12214.38,158610000.00,12214.38
^DJI;,09/03/2011,12211.16,12257.82,12156.60,12213.09,128360000.00,12213.09
^DJI;,10/03/2011,12211.43,12211.43,11974.39,11984.61,180660000.00,11984.61
^DJI;,11/03/2011,11976.96,12087.01,11936.32,12044.40,143670000.00,12044.40
^DJI;,14/03/2011,12042.13,12042.13,11897.31,11993.16,163000000.00,11993.16
^DJI;,15/03/2011,11988.69,11988.69,11696.25,11855.42,221930000.00,11855.42
^DJI;,16/03/2011,11854.20,11856.70,11555.48,11613.30,254070000.00,11613.30
^DJI;,17/03/2011,11614.89,11800.54,11614.82,11774.59,182260000.00,11774.59
^DJI;,18/03/2011,11777.23,11927.09,11777.23,11858.52,355050000.00,11858.52
^DJI;,21/03/2011,11860.11,12078.30,11860.11,12036.53,143390000.00,12036.53
^DJI;,22/03/2011,12036.37,12050.98,12002.85,12018.63,115660000.00,12018.63
^DJI;,23/03/2011,12018.40,12116.14,11972.61,12086.02,133940000.00,12086.02
^DJI;,24/03/2011,12087.54,12191.18,12087.54,12170.56,131610000.00,12170.56
^DJI;,25/03/2011,12170.71,12259.79,12170.71,12220.59,129790000.00,12220.59
^DJI;,28/03/2011,12221.19,12272.92,12197.88,12197.88,123070000.00,12197.88
^DJI;,29/03/2011,12194.48,12285.41,12173.51,12279.01,129030000.00,12279.01
^DJI;,30/03/2011,12280.07,12383.46,12280.07,12350.61,140340000.00,12350.61
^DJI;,31/03/2011,12350.76,12381.68,12319.01,12319.73,186140000.00,12319.73
^DJI;,01/04/2011,12321.02,12419.71,12321.02,12376.72,147600000.00,12376.72
^DJI;,04/04/2011,12374.60,12407.41,12369.15,12400.03,114660000.00,12400.03
^DJI;,05/04/2011,12402.08,12438.14,12353.34,12393.90,142340000.00,12393.90
^DJI;,06/04/2011,12386.66,12450.93,12386.66,12426.75,182350000.00,12426.75
^DJI;,07/04/2011,12426.45,12440.56,12328.36,12409.49,158590000.00,12409.49
^DJI;,08/04/2011,12409.87,12450.36,12320.72,12380.05,122820000.00,12380.05
^DJI;,11/04/2011,12380.43,12444.00,12352.88,12381.11,109950000.00,12381.11
^DJI;,12/04/2011,12381.19,12381.19,12233.00,12263.58,137260000.00,12263.58
^DJI;,13/04/2011,12263.65,12335.10,12224.45,12270.99,118950000.00,12270.99
^DJI;,14/04/2011,12270.24,12305.58,12163.86,12285.15,140670000.00,12285.15
^DJI;,15/04/2011,12285.45,12369.27,12272.58,12341.83,234710000.00,12341.83
^DJI;,18/04/2011,12339.71,12339.79,12093.89,12201.59,190220000.00,12201.59
^DJI;,19/04/2011,12201.44,12275.34,12200.30,12266.75,149870000.00,12266.75
^DJI;,20/04/2011,12266.75,12475.53,12263.58,12453.54,203900000.00,12453.54
^DJI;,21/04/2011,12453.62,12506.06,12447.56,12505.99,166630000.00,12505.99
^DJI;,25/04/2011,12505.99,12506.22,12446.05,12479.88,128660000.00,12479.88
^DJI;,26/04/2011,12480.86,12613.16,12478.14,12595.37,183980000.00,12595.37
^DJI;,27/04/2011,12592.23,12708.37,12588.33,12690.96,160550000.00,12690.96
^DJI;,28/04/2011,12689.90,12776.14,12674.54,12763.31,148760000.00,12763.31
^DJI;,29/04/2011,12763.46,12832.83,12751.13,12810.54,378620000.00,12810.54
^DJI;,02/05/2011,12810.16,12876.00,12784.62,12807.36,150960000.00,12807.36
^DJI;,03/05/2011,12806.38,12840.66,12749.99,12807.51,191510000.00,12807.51
^DJI;,04/05/2011,12806.29,12806.68,12673.02,12723.58,193720000.00,12723.58
^DJI;,05/05/2011,12723.65,12724.56,12521.28,12584.17,176950000.00,12584.17
^DJI;,06/05/2011,12580.76,12759.23,12579.93,12638.74,168320000.00,12638.74
^DJI;,09/05/2011,12637.83,12722.07,12620.20,12684.68,133940000.00,12684.68
^DJI;,10/05/2011,12685.13,12781.06,12681.65,12760.36,156000000.00,12760.36
^DJI;,11/05/2011,12745.87,12748.21,12577.21,12630.03,200680000.00,12630.03
